Company,Contact,Title,Priority,LinkedIn URL,URL Status,Connection Request,Conn Chars,Within 300?,Follow-up DM,Status
LendingTree,Darshit Parekh,"Senior Director, Data Engineering",PRIMARY,linkedin.com/in/darshit-mukesh-parekh,Verified,"Darshit — you own LendingTree's data platform and the CDP/single-source-of-truth build. Seeding lower environments with real applicant PII is a GLBA/FCRA headache. RealityDB, my CLI for synthetic lending data, fixes that. Charlotte founder — would value connecting.",265,Yes,"Darshit — unifying four channels into one customer-intelligence platform means your dev/test/QA environments need production-shaped data, and real applicant records (income, SSNs, credit) can't safely go there.
RealityDB (@realitydb/cli) generates synthetic lending/credit datasets — MOD-10-valid ABA routing, realistic FICO and income/DTI distributions, plus rare high-risk edge cases production data rarely surfaces — in one command. 99/100 quality, deterministic seeding so tests reproduce exactly.
Happy to generate a free sample shaped to a LendingTree pipeline you're building — mortgage or personal-loan applications, your call — so you can drop it straight into a lower environment.
Worth 15 minutes to see if it fits?
— Eddy (Charlotte)",FOUND
LendingTree,Sarah Bacha,"SVP, Head of Analytics & Corporate Strategy (+ AI)",AIR COVER,linkedin.com/in/sarah-bacha-guidry-bb3a9b19,Verified,"Sarah — saw LendingTree championing NC's AI Strategic Roadmap and consumer-protection-first AI via your Advisory Council seat. Synthetic data lets teams build and validate models without real applicant PII in dev/test — responsible by design. RealityDB does exactly this. Would love to connect.",294,Yes,"Sarah — your public stance on responsible, consumer-protection-first AI (and the NC AI Roadmap work) is the exact posture I built RealityDB around.
Every model your AI lab and DS team build gets safer if real applicant PII never touches dev/test. RealityDB (@realitydb/cli) generates synthetic banking/insurance data — realistic FICO, income, credit and insurance distributions, with rare high-risk edge cases that make model validation and fair-lending testing stronger — all GLBA-safe and reproducible.
It's the ""responsible by design"" data layer underneath the AI governance you're already advocating.
Could I send your team a free LendingTree-relevant sample to try in a lower environment?
— Eddy (Charlotte)",FOUND
LendingTree,Samira Shaikh,"Director, Data Science",Champion,linkedin.com/in/drsamirashaikh,Verified,"Samira — as your DS team scales and validates credit/insurance-matching models, the bottleneck is realistic, edge-case-rich data you can't pull from production. RealityDB, my CLI for synthetic lending/insurance data with controllable rare cases, solves it. Charlotte founder — would value connecting.",300,Yes,"Samira — building and validating credit- and insurance-matching models is only as good as the edge cases in your data, and production rarely surfaces the rare/high-risk scenarios safely.
RealityDB (@realitydb/cli) generates synthetic lending/insurance datasets with deliberately controllable distributions — FICO, income/DTI, fraud and high-risk edge cases — deterministically seeded so model tests reproduce, and free of the GLBA/FCRA exposure of real applicant PII.
For a team that's actively hiring, it also means new data scientists start on realistic data day one, no prod-data wait.
I'd love to generate a free sample tuned to one of your model-validation use cases. Open to a quick look?
— Eddy (Charlotte)",FOUND
LendingTree,Brian Holbrook,"Senior Manager, Revenue Analytics",Consumer,VERIFY MANUALLY,VERIFY MANUALLY,"Brian — revenue analytics at LendingTree runs on conversion and lead-quality data that's hard to prototype against without touching real applicant records. RealityDB, a CLI that generates realistic synthetic lending/conversion data for exactly that. Charlotte founder — would value connecting.",293,Yes,"Brian — prototyping revenue and conversion analytics usually means either waiting on prod-data access or risking real applicant PII in a dashboard sandbox.
RealityDB (@realitydb/cli) generates production-shaped synthetic lending data — applications, FICO/income distributions, conversion-relevant fields — in one CLI command, deterministically seeded so your dashboards and tests reproduce. No GLBA/FCRA exposure.
It's a fast way to build and demo revenue-analytics views before real data is wired in.
Can I send you a free sample shaped to a LendingTree conversion funnel to try?
— Eddy (Charlotte)",FOUND
LendingTree,Owais Ahmed,Principal / Lead Data Engineer,IC,VERIFY MANUALLY,VERIFY MANUALLY,"Owais — as a hands-on owner of LendingTree's pipelines, you feel the test-data problem daily: you can't seed lower environments with real applicant PII. I built RealityDB, a CLI that generates realistic synthetic lending data at volume. Charlotte founder — would value connecting.",280,Yes,"Owais — pipeline work lives or dies on test data, and real applicant records (income, SSNs, credit) can't go into dev/test/QA without GLBA/FCRA headaches.
RealityDB (@realitydb/cli) generates synthetic lending/credit datasets at volume from one command — MOD-10-valid ABA routing, realistic FICO/income/DTI, rare high-risk edge cases — deterministically seeded so pipeline tests reproduce. 99/100 quality, 303 passing tests.
It drops straight into Snowflake/streaming ETL, no prod-data request needed.
Happy to generate a free sample matched to one of your pipelines. Worth a look?
— Eddy (Charlotte)",FOUND
LendingTree,Luis Lema,Staff Data Engineer,IC,linkedin.com/in/llema,Verified,"Luis — staff-level pipeline work means constantly needing realistic data for dev/test that can't be real applicant PII. I built RealityDB, a CLI that generates synthetic lending/credit data at volume, deterministically seeded. Charlotte founder — would value connecting.",270,Yes,"Luis — as a staff engineer you're the one who ends up needing production-shaped data for pipeline dev, QA and reproducing bugs — and real applicant PII isn't an option in lower environments.
RealityDB (@realitydb/cli) generates synthetic lending/credit datasets in one command — valid ABA routing, realistic FICO/income distributions, rare edge cases — deterministically seeded so a failing test reproduces exactly. 99/100 quality score.
It loads straight into Snowflake or your streaming ETL, no prod-data request.
Can I send you a free sample shaped to a LendingTree pipeline to try locally?
— Eddy (Charlotte)",FOUND
Atrium Health,Tina Esposito,"SVP & Chief Data Officer, Advocate Health",PRIMARY,linkedin.com/in/tina-esposito-19287412,Verified,"Tina — you own cloud data engineering, governance and data science at Advocate, and you've spoken about integrating post-merger data on a modern platform. Every integration cycle needs realistic test data that isn't real PHI. RealityDB does exactly that. Would love to connect.",277,Yes,"Tina — integrating Atrium + Advocate Aurora data (and soon WakeMed/OrthoCarolina) means constant pipeline validation, and HIPAA means you can't use real PHI to do it.
RealityDB (@realitydb/cli) generates HIPAA-safe synthetic patient data — ICD-10-CM diagnoses, MS-DRG groupings, realistic encounters and demographics — in one command, 99/100 quality, deterministically seeded so pipeline and BI tests reproduce exactly. It maps cleanly onto Epic Cogito to Snowflake to Power BI.
Teams build and validate on production-shaped data while real PHI never leaves production — the governed posture your TRAIN membership points at.
Could I send your team a free Atrium-relevant sample to try in a lower environment?
— Eddy (Charlotte)",FOUND
Atrium Health,Rasu B. Shrestha,"Enterprise EVP, Chief Strategy & Transformation Officer",EXEC AIR COVER,linkedin.com/in/rasushrestha,Verified,"Rasu — as executive sponsor for Advocate's enterprise data and analytics, you own the tension between moving fast on AI and keeping real PHI out of dev/test. I built RealityDB, a CLI for HIPAA-safe synthetic patient data. Charlotte founder — would value connecting.",265,Yes,"Rasu — the transformation agenda you lead hits a recurring friction: analytics and AI teams need realistic data to move fast, but HIPAA keeps real PHI out of dev, test and vendor environments.
RealityDB (@realitydb/cli) resolves that with HIPAA-safe synthetic patient data — ICD-10-CM, MS-DRG, realistic encounters — generated in one command at 99/100 quality. Teams prototype dashboards, test pipelines and run vendor demos on production-shaped data with zero PHI exposure.
Given the Oracle/Cerner breach and the $1.8M web-tracker settlement, it's also a clean risk-reduction story for the board.
Worth a 15-minute intro with you or Tina's team?
— Eddy (Charlotte)",FOUND
Atrium Health,Andy Crowder,"SVP, Chief Digital Officer & CIO Southeast Region",Secondary,linkedin.com/in/andycrowder,Verified,"Andy — leading digital/IT for Advocate's Southeast region from Charlotte, you see the test-data pain across every Epic-to-Snowflake analytics build. Real PHI can't go into dev/test. I built RealityDB, a CLI for HIPAA-safe synthetic patient data. Would value connecting.",269,Yes,"Andy — every analytics and BI build across the Southeast region hits the same wall: you need realistic patient data to develop against, but HIPAA keeps real PHI out of dev, test and QA.
RealityDB (@realitydb/cli) generates HIPAA-safe synthetic patient data — ICD-10-CM, MS-DRG, realistic encounters and demographics — in one command, 99/100 quality, deterministically seeded so tests reproduce. It fits Epic Cogito to Snowflake to Power BI directly.
Your teams get production-shaped data for dashboard prototyping and pipeline testing while PHI stays in production.
Can I send a free Atrium-relevant sample for your team to try?
— Eddy (Charlotte)",FOUND
Novant Health,Stephanie Lenzner,"SVP, Value Intelligence",PRIMARY / economic buyer,linkedin.com/in/stephanie-lenzner-9031553,Likely (confirm employer flip on view),"Stephanie — congrats on the Value Intelligence role. As you build Novant's data foundation, the $6.6M Meta-pixel settlement is the cautionary tale: real PHI in the wrong environment is expensive. I built RealityDB, a CLI for HIPAA-safe synthetic patient data. Would love to connect.",282,Yes,"Stephanie — congratulations on the SVP, Value Intelligence appointment. You're building the data foundation for analytics and data science exactly as Novant triples in size and absorbs acquisitions like Stokes.
The $6.6M Meta-pixel settlement already showed what real PHI in the wrong environment costs. RealityDB (@realitydb/cli) gives your teams realistic ICD-10-CM / MS-DRG patient data — 99/100 quality, deterministically seeded — so every migration, dashboard and QA cycle runs on production-shaped data with zero PHI.
For a first-90-days leader setting tooling, it's a clean way to make ""no real PHI in dev/test"" the default from day one.
Could I send a free Novant-relevant sample to try?
— Eddy (Charlotte)",FOUND
Novant Health,Onyeka Nchege,"EVP, Chief Digital & Information Officer",EXEC SPONSOR,linkedin.com/in/onyeka-nchege,Verified,"Onyeka — your ""experimentation as a service"" mandate and Truveta board seat say you already believe in privacy-preserving data at scale. After the $6.6M pixel settlement, synthetic data is the sandbox that keeps real PHI out of experiments. I built RealityDB for exactly that. Would value connecting.",300,Yes,"Onyeka — ""experimentation as a service"" only works if teams can experiment without dragging real PHI through every sandbox — and the $6.6M Meta-pixel settlement is the expensive proof of what happens when they do.
RealityDB (@realitydb/cli) is that sandbox's data layer: HIPAA-safe synthetic patient data — ICD-10-CM, MS-DRG, realistic encounters — generated in one command at 99/100 quality. Your Truveta board seat already reflects the thesis; this is the same privacy-preserving idea for internal dev, QA and AI experimentation.
Teams move fast on Epic/Cogito and AI models without waiting on de-identified-data access.
Worth a 15-minute look with you or Stephanie's team?
— Eddy (Charlotte)",FOUND
Novant Health,"Karen Hegarty, PhD",Head of AI & Innovation,AI angle,linkedin.com/in/karen-hegarty,Verified,"Karen — leading AI & Innovation with an ethical/safe-AI focus, you need training and eval data that never exposes real PHI. I built RealityDB, a CLI for HIPAA-safe synthetic patient data — ICD-10-CM, MS-DRG — built for exactly that. Charlotte founder — would love to connect.",275,Yes,"Karen — safe, trustworthy AI starts with the data you develop and evaluate on, and real PHI in model-building environments is exactly the exposure the Institute exists to govern.
RealityDB (@realitydb/cli) generates HIPAA-safe synthetic patient data — ICD-10-CM diagnoses, MS-DRG groupings, realistic encounters — deterministically seeded so AI experiments and evaluations are reproducible, at 99/100 quality. Teams prototype and validate models on production-shaped data with zero PHI, then move to governed real data only when truly needed.
It's a clean fit for the ethical-AI posture the Institute vets use cases against.
Could I send a free sample for an AI use case your team is exploring?
— Eddy (Charlotte)",FOUND
Novant Health,"Keith Murphy, PhD",Data Scientist II,Technical validator,linkedin.com/in/keith-murphymph,Verified,"Keith — as a data scientist at Novant, you're the one who needs realistic patient data to build and test models, and real PHI isn't an option in dev. I built RealityDB, a CLI that generates HIPAA-safe synthetic ICD-10-CM/MS-DRG data. Charlotte-based founder — would value connecting.",283,Yes,"Keith — model work needs realistic, edge-case-rich patient data, and HIPAA keeps real PHI out of the environments where you actually build and test.
RealityDB (@realitydb/cli) generates HIPAA-safe synthetic patient data in one command — ICD-10-CM, MS-DRG, realistic encounters and demographics — deterministically seeded so a model run or a failing test reproduces exactly. 99/100 quality, 303 passing tests.
It's meant to drop straight into a notebook or pipeline so you can start day one without a PHI-access request.
Happy to send you a free sample to try locally — want me to?
— Eddy (Charlotte)",FOUND
Novant Health,Stephanie Fontanella,Director of Informatics Solutions,Practitioner,linkedin.com/in/stephanie-fontanella-66b37766,Verified,"Stephanie — informatics solutions work constantly needs realistic patient data for build and test, and HIPAA keeps real PHI out of those environments. I built RealityDB, a CLI for HIPAA-safe synthetic ICD-10-CM/MS-DRG data. Would value connecting.",247,Yes,"Stephanie — informatics solutions live on realistic patient data, but HIPAA keeps real PHI out of the dev, test and demo environments where your team builds.
RealityDB (@realitydb/cli) generates HIPAA-safe synthetic patient data — ICD-10-CM, MS-DRG, realistic encounters and demographics — in one command, 99/100 quality, deterministically seeded so builds and tests reproduce. It maps cleanly onto an Epic Cogito to warehouse to BI flow.
Your team gets production-shaped data for prototyping and pipeline testing while PHI stays in production.
Can I send a free Novant-relevant sample for your team to try?
— Eddy (Charlotte)",FOUND
Novant Health,Sandip Ray,"Senior Program Manager, Charlotte (TITLE CORRECTED — not analytics; re-target or drop)",Practitioner,linkedin.com/in/sr72,Verified,"Sandip — healthcare analytics work needs realistic patient data to prototype dashboards and test pipelines, and real PHI can't go into those environments. I built RealityDB, a Charlotte-made CLI for HIPAA-safe synthetic ICD-10-CM/MS-DRG data. Would value connecting.",266,Yes,"Sandip — prototyping analytics and testing pipelines both need realistic patient data, and HIPAA keeps real PHI out of dev/test.
RealityDB (@realitydb/cli) generates HIPAA-safe synthetic patient data — ICD-10-CM, MS-DRG, realistic encounters — in one command, 99/100 quality, deterministically seeded so dashboards and tests reproduce exactly.
It gives you production-shaped data to build and demo against without waiting on PHI access or risking exposure.
Both of us are Charlotte-based — happy to send a free sample tuned to a Novant use case. Want me to?
— Eddy (Charlotte)",FOUND
